Cities,Latitude,Temp,Humidity,Windspeed,Cloudiness
batemans bay,-35.72,71.01,84,1.01,28
hilo,19.73,75.0,99,7.56,95
bluff,-46.6,50.0,91,1.01,88
jamestown,42.1,35.01,92,6.93,1
tiksi,71.69,-18.78,89,5.37,55
coahuayana,18.73,71.6,56,6.93,20
punta arenas,-53.15,50.0,76,10.29,100
ponta do sol,32.67,68.0,64,19.46,20
fortuna,40.6,48.2,93,5.82,90
butaritari,3.07,83.14,80,17.83,100
kankakee,41.15,36.0,100,6.93,90
atuona,-9.8,81.36,78,18.32,0
ostrovnoy,68.05,13.8,99,6.8,87
talnakh,69.49,6.8,84,31.32,75
tilichiki,60.47,31.44,97,29.68,100
iqaluit,63.75,-14.01,62,10.29,40
agdas,40.65,51.8,39,5.82,0
ushuaia,-54.8,44.6,87,4.7,90
tuktoyaktuk,69.45,-13.49,81,10.25,0
norman wells,65.28,-34.6,73,4.23,5
wanning,18.8,69.46,79,7.11,41
puerto ayora,-0.74,77.0,88,13.87,90
albany,42.6,36.0,86,5.82,90
ribeira grande,38.52,59.0,62,20.8,40
saskylakh,71.92,-16.15,94,13.06,0
hermanus,-34.42,70.39,92,18.92,30
birao,10.28,92.37,10,12.8,0
denpasar,-8.65,84.2,83,2.24,20
eureka,40.8,48.2,66,13.87,75
bethel,41.37,39.0,93,3.36,90
freeport,40.66,42.01,86,3.36,1
arkhangelsk,64.54,32.0,89,11.18,90
lubbock,33.6,39.99,63,9.17,20
mizdah,31.45,52.25,57,14.14,45
arraial do cabo,-22.97,78.8,69,4.7,75
port alfred,-33.59,75.99,86,5.99,75
torbay,47.67,17.01,72,13.87,40
hochstadt,49.25,52.0,53,10.29,100
ascension,30.22,70.0,100,4.59,90
kavieng,-2.57,83.53,79,22.53,100
teya,60.38,10.15,88,10.29,100
dalby,-27.18,75.0,69,13.87,11
saint-philippe,-21.36,86.0,70,6.93,35
vaini,-21.2,78.8,88,4.7,20
carnarvon,-24.87,76.08,88,8.37,70
kutum,14.2,80.04,11,14.27,0
astoria,46.19,37.99,67,12.75,90
victoria,22.29,70.0,46,11.41,17
maneadero,31.72,48.92,88,5.46,16
mataura,-46.19,50.0,91,1.01,97
ballina,-28.87,71.6,83,1.12,90
klaksvik,62.23,41.0,80,24.16,100
aswan,24.09,78.8,24,10.29,4
kapaa,22.08,75.2,83,18.34,40
hobart,-42.88,66.2,77,11.41,90
busselton,-33.65,70.0,36,19.55,0
westport,41.14,41.0,93,6.46,1
necochea,-38.55,73.0,87,11.01,54
spodnja idrija,46.03,48.99,49,8.05,20
la tuque,47.43,-5.66,100,0.43,74
cavalcante,-13.8,74.53,67,3.4,54
coquimbo,-29.95,60.8,82,3.36,90
rikitea,-23.12,77.5,80,10.56,0
east london,-33.02,80.6,78,19.46,75
longyearbyen,78.22,-2.2,84,4.7,20
kongsberg,59.67,43.0,75,3.36,40
barrow,71.29,14.0,85,25.28,90
dongsheng,39.82,5.5,81,2.44,15
malanje,-9.54,78.8,83,9.17,75
vanavara,60.34,-4.95,100,4.38,93
romitan,39.93,35.6,64,4.7,40
new norfolk,-42.78,66.2,77,11.41,90
alencon,48.43,51.8,81,16.11,90
bajil,15.06,75.45,56,5.97,60
sur,22.57,71.92,40,1.16,5
bilibino,68.05,-23.26,78,4.27,0
severo-kurilsk,50.68,18.1,84,28.19,92
campbell river,50.02,23.0,67,12.75,90
bairiki,1.33,82.4,83,5.82,75
lincoln,40.8,26.6,79,10.29,1
nalbari,26.45,68.0,77,1.1,20
tucuman,-26.82,80.6,74,16.11,49
okha,53.57,-7.71,92,11.12,0
chico,39.73,48.2,81,12.75,40
progreso,21.28,73.99,94,5.82,90
deputatskiy,69.3,-26.95,65,2.73,23
broken hill,-31.95,93.2,23,8.05,26
dikson,73.51,6.01,95,10.78,100
bom jesus,-9.07,80.46,70,5.19,59
estacion coahuila,32.19,42.8,60,3.36,1
lenger,42.18,28.4,79,2.24,90
iringa,-7.77,75.2,78,12.75,75
lebu,-37.62,58.01,73,6.4,22
tazovskiy,67.47,-8.91,96,13.47,92
indianola,41.36,32.0,87,9.17,1
mahebourg,-20.41,84.2,79,9.17,75
bulgan,48.81,1.0,81,3.98,99
bengkulu,-3.8,76.91,85,0.22,90
burns lake,54.23,-28.41,99,1.7,47
shubarshi,48.59,25.74,92,15.08,98
tonota,-21.48,84.2,51,18.34,40
hornepayne,49.21,12.29,94,5.82,98
la asuncion,11.03,75.45,81,8.7,7
plettenberg bay,-34.05,74.48,82,8.14,64
fairbanks,64.84,1.99,84,1.19,90
minas,-34.38,75.2,64,14.99,75
makokou,0.57,91.49,40,0.87,17
saint george,37.1,34.0,86,2.3,1
port lincoln,-34.73,64.65,85,15.1,1
lishui,28.46,39.13,89,2.64,47
caravelas,-17.71,77.65,82,7.94,100
viedma,-40.81,81.54,43,15.64,1
san quintin,30.48,54.5,86,9.13,79
asosa,10.07,93.45,12,6.73,0
port elizabeth,-33.92,78.8,78,18.34,20
kodiak,57.79,33.8,55,8.05,90
ballinrobe,53.63,44.01,93,8.05,90
luderitz,-26.65,80.6,47,21.92,0
buriti,-22.93,79.0,88,4.7,90
jacksonville,30.33,64.0,100,3.58,90
kibala,9.11,95.0,11,6.93,0
haines junction,60.75,-20.7,80,4.63,0
huainan,32.63,36.75,65,6.11,34
bredasdorp,-34.53,82.4,58,11.41,32
el alto,-4.27,70.66,75,6.55,58
cayenne,4.93,78.8,88,3.36,57
barahona,18.21,73.4,78,6.93,20
yukamenskoye,57.89,17.53,96,8.5,99
stornoway,58.21,39.2,80,23.04,40
kansk,56.2,11.71,90,7.05,65
nikolskoye,59.7,37.99,74,11.18,90
nishihara,26.18,66.2,82,11.41,75
bacolod,10.67,75.38,82,7.29,0
bethanien,-26.5,97.2,11,5.39,0
mani,4.82,74.61,60,3.65,47
salina cruz,16.17,79.59,74,40.09,0
mar del plata,-38.0,79.0,94,9.17,90
lata,40.16,60.01,67,16.11,20
ocana,8.24,74.61,62,4.21,3
naze,28.37,60.8,82,17.22,75
vostok,46.49,-9.15,98,3.58,95
richards bay,-28.78,81.5,68,10.25,0
yellowknife,62.46,-32.01,66,5.82,75
manama,26.22,68.0,52,24.16,20
grand-santi,4.25,75.81,93,3.51,75
xuddur,4.12,90.01,36,19.15,63
kaitangata,-46.28,55.0,84,5.01,100
vilhena,-12.74,77.0,88,5.82,35
te anau,-45.42,47.41,78,1.12,81
caraquet,47.79,17.01,85,4.7,90
melnikovo,56.56,18.0,88,14.2,100
thompson,55.74,-18.4,75,5.82,75
coihaique,-45.58,59.0,54,10.29,40
fare,-16.7,80.92,81,16.17,47
qaanaaq,77.48,-7.24,38,3.69,84
pevek,69.7,-17.54,89,8.93,48
kazachinskoye,57.7,12.63,92,7.61,100
khatanga,71.97,-19.21,88,7.58,58
dubbo,-32.25,82.4,42,23.04,53
padang,-0.95,70.84,97,1.83,100
inirida,3.87,73.0,78,1.48,49
peleduy,59.63,3.56,95,7.85,100
svetlaya,46.54,12.69,68,7.85,0
swan hill,-35.34,82.99,60,1.01,4
hofn,64.25,39.83,83,46.06,100
upernavik,72.79,0.81,71,2.75,100
raudeberg,61.99,44.6,70,23.04,40
nome,64.5,17.01,78,4.7,20
mangrol,21.12,69.64,64,14.56,3
yarensk,62.17,24.21,95,7.7,95
tautira,-17.73,77.0,83,5.82,75
kruisfontein,-34.0,87.67,48,16.35,49
kapit,2.02,73.92,97,2.17,100
hervey bay,-25.3,77.0,83,9.17,40
baymak,52.59,17.78,89,10.36,39
esperance,-33.87,66.2,88,12.75,90
la ronge,55.1,-16.6,68,8.05,90
smithers,54.78,-23.8,74,3.36,1
ambon,-3.7,80.6,88,8.05,20
chokurdakh,70.63,-18.4,97,1.95,98
pisco,-13.7,71.6,30,3.51,75
cape town,-33.93,90.0,65,20.8,36
constantine,36.37,50.0,66,6.93,20
kokuy,52.2,-11.27,98,1.63,100
gandu,-13.74,80.85,58,3.2,42
angoche,-16.23,84.06,77,1.81,96
hailar,49.2,-14.55,92,3.85,0
bosaso,11.28,77.0,69,19.46,0
makakilo city,21.35,77.0,78,11.41,90
bunia,1.57,82.76,44,5.44,0
kudahuvadhoo,2.67,80.91,74,13.8,14
kandrian,-6.22,75.6,94,11.72,100
inuvik,68.35,-13.0,75,5.82,5
beloha,-25.17,95.85,31,4.07,46
roebourne,-20.78,86.16,68,10.87,68
omboue,-1.57,90.77,58,3.42,36
gat,31.61,66.2,45,6.93,40
xingyi,24.19,53.22,81,5.46,0
bambous virieux,-20.34,84.2,79,9.17,75
avarua,-21.21,77.0,88,13.87,96
airai,-8.93,69.35,95,0.29,100
osoyoos,49.03,6.8,60,11.41,90
cabo san lucas,22.89,59.0,72,1.01,96
dunedin,-45.87,55.0,85,5.99,81
san cristobal,7.77,73.4,83,4.27,75
kamuli,0.95,89.6,20,7.07,89
katsuura,35.13,51.8,66,2.24,75
ilulissat,69.22,5.0,60,13.87,75
bathsheba,13.22,80.6,65,25.28,40
ponta delgada,37.73,60.8,67,14.99,40
butembo,0.15,81.84,41,3.83,5
kodinsk,58.69,5.79,97,4.94,88
nanortalik,60.14,20.05,63,9.26,52
